Nation;Tournament;SUM(G-xG);SUM(xGA-GA);Result
Croatia;2018;2.9;-1.3;Final
France;2018;4.8;-1.2;Final
Argentina;2022;4.1;-0.3;Final
France;2022;4.8;2.4;Final
Panama;2018;-0.2;-4.1;Groupstage
Serbia;2022;1.6;-3.7;Groupstage
Saudi Arabia;2018;-1.1;-2.8;Groupstage
Australia;2018;-1.2;-2.7;Groupstage
Qatar;2022;-0.6;-2.6;Groupstage
Senegal;2018;1.1;-2;Groupstage
Wales;2022;-1.2;-1.9;Groupstage
Iceland;2018;-2.4;-1.5;Groupstage
Germany;2022;-4.7;-1.4;Groupstage
Saudi Arabia;2022;-2.1;-1.3;Groupstage
Poland;2018;-1.3;-1.2;Groupstage
IR Iran;2022;0.7;-0.9;Groupstage
Ghana;2022;-1.1;-0.9;Groupstage
Egypt;2018;-0.5;-0.6;Groupstage
Uruguay;2022;1.8;-0.6;Groupstage
Nigeria;2018;0;-0.3;Groupstage
Germany;2018;-3.5;-0.1;Groupstage
Costa Rica;2018;-0.5;-0.1;Groupstage
Canada;2022;-0.4;-0.1;Groupstage
Cameroon;2022;0.8;0.4;Groupstage
Serbia;2018;-1.2;0.4;Groupstage
Tunisia;2018;0.8;0.6;Groupstage
Ecuador;2022;-0.8;1;Groupstage
Morocco;2018;-0.8;1.1;Groupstage
Belgium;2022;-0.3;1.3;Groupstage
Tunisia;2022;-0.7;1.8;Groupstage
IR Iran;2018;-1.1;1.9;Groupstage
Peru;2018;-0.3;1.9;Groupstage
Denmark;2022;-2.2;2.1;Groupstage
Mexico;2022;-0.2;2.3;Groupstage
Costa Rica;2022;0.9;2.8;Groupstage
Korea Republic;2018;0.1;3.9;Groupstage
Uruguay;2018;-0.2;-0.8;Quaterfinal
Brazil;2022;1;-0.5;Quaterfinal
Brazil;2018;-3.7;0;Quaterfinal
Russia;2018;6;0.5;Quaterfinal
England;2022;4.5;0.6;Quaterfinal
Sweden;2018;-1.4;0.8;Quaterfinal
Netherlands;2022;3.4;1.5;Quaterfinal
Portugal;2022;4.6;1.8;Quaterfinal
Argentina;2018;1.1;-2.5;Round of 16
Spain;2018;-1.2;-1.9;Round of 16
Senegal;2022;-0.6;-1.7;Round of 16
Korea Republic;2022;-0.6;-1.5;Round of 16
Portugal;2018;1.3;-1.5;Round of 16
Japan;2018;1.7;-0.7;Round of 16
Japan;2022;-0.8;0.8;Round of 16
Switzerland;2022;1.6;1;Round of 16
Mexico;2018;-2.3;1.4;Round of 16
Spain;2022;2.9;1.5;Round of 16
Switzerland;2018;-0.1;1.5;Round of 16
United States;2022;1.1;2.2;Round of 16
Australia;2022;1.5;2.2;Round of 16
Colombia;2018;2;2.7;Round of 16
Denmark;2018;0.1;3.9;Round of 16
Poland;2022;0.1;4.9;Round of 16
England;2018;0.8;-0.3;Semifinal
Morocco;2022;-0.1;0.6;Semifinal
Belgium;2018;2.6;2.7;Semifinal
Croatia;2022;1.3;4.5;Semifinal
